PARTICIPATION epoch=200073, participation=0.9966030583123908
LEDGER t=6402416 tip=6402336, quorum=0.5
PARTICIPATION epoch=200074, participation=1
LEDGER t=6402449 tip=6402368, quorum=0.5
PARTICIPATION epoch=200075, participation=1
LEDGER t=6402481 tip=6402400, quorum=0.5
PARTICIPATION epoch=200076, participation=1
LEDGER t=6402512 tip=6402431, quorum=0.5
PARTICIPATION epoch=200077, participation=0.9999929011178964
LEDGER t=6402545 tip=6402464, quorum=0.5
PARTICIPATION epoch=200078, participation=1
LEDGER t=6402576 tip=6402496, quorum=0.5
PARTICIPATION epoch=200079, participation=0.9986814177509921
LEDGER t=6402608 tip=6402528, quorum=0.5
PARTICIPATION epoch=200080, participation=1
LEDGER t=6402641 tip=6402560, quorum=0.5
PARTICIPATION epoch=200081, participation=1
LEDGER t=6402673 tip=6402592, quorum=0.5
PARTICIPATION epoch=200082, participation=0.9956894945404405
LEDGER t=6402705 tip=6402624, quorum=0.5
PARTICIPATION epoch=200083, participation=0.9973221653372137
LEDGER t=6402737 tip=6402656, quorum=0.5
PARTICIPATION epoch=200084, participation=0.9974251272796318
LEDGER t=6402769 tip=6402688, quorum=0.5
PARTICIPATION epoch=200085, participation=0.9966905103712129
LEDGER t=6402801 tip=6402720, quorum=0.5
PARTICIPATION epoch=200086, participation=0.996937212863706
LEDGER t=6402833 tip=6402752, quorum=0.5
PARTICIPATION epoch=200087, participation=0.9967775536024502
LEDGER t=6402865 tip=6402784, quorum=0.5
PARTICIPATION epoch=200088, participation=0.996082015065078
LEDGER t=6402897 tip=6402816, quorum=0.5
PARTICIPATION epoch=200089, participation=0.9988874358323737
LEDGER t=6402929 tip=6402848, quorum=0.5
PARTICIPATION epoch=200090, participation=0.9983480342317117
LEDGER t=6402960 tip=6402880, quorum=0.5
PARTICIPATION epoch=200091, participation=1
LEDGER t=6402993 tip=6402912, quorum=0.5
PARTICIPATION epoch=200092, participation=1
LEDGER t=6403024 tip=6402944, quorum=0.5
PARTICIPATION epoch=200093, participation=0.9996646510241451
LEDGER t=6403057 tip=6402976, quorum=0.5
PARTICIPATION epoch=200094, participation=1
LEDGER t=6403089 tip=6403008, quorum=0.5
PARTICIPATION epoch=200095, participation=0.9990667139815472
LEDGER t=6403121 tip=6403040, quorum=0.5
PARTICIPATION epoch=200096, participation=0.9967264481696498
LEDGER t=6403153 tip=6403072, quorum=0.5
PARTICIPATION epoch=200097, participation=0.989208964969057
LEDGER t=6403185 tip=6403104, quorum=0.5
PARTICIPATION epoch=200098, participation=0.9929793621279435
LEDGER t=6403218 tip=6403136, quorum=0.5
PARTICIPATION epoch=200099, participation=0.9931852456398701
LEDGER t=6403249 tip=6403168, quorum=0.5
PARTICIPATION epoch=200100, participation=0.9529218273463239
LEDGER t=6403281 tip=6403200, quorum=0.5
PARTICIPATION epoch=200101, participation=0.9948247567174374
LEDGER t=6403313 tip=6403232, quorum=0.5
PARTICIPATION epoch=200102, participation=0.9948656354175353
LEDGER t=6403345 tip=6403264, quorum=0.5
PARTICIPATION epoch=200103, participation=0.9788401184399843
LEDGER t=6403377 tip=6403296, quorum=0.5
PARTICIPATION epoch=200104, participation=0.9947930341974354
LEDGER t=6403409 tip=6403328, quorum=0.5
PARTICIPATION epoch=200105, participation=0.9862527409362826
LEDGER t=6403441 tip=6403360, quorum=0.5
PARTICIPATION epoch=200106, participation=0.9916531248004201
LEDGER t=6403473 tip=6403392, quorum=0.5
