LEDGER t=6398815 tip=6398720, quorum=0.96
LEDGER t=6398816 tip=6398720, quorum=0.97
LEDGER t=6398816 tip=6398720, quorum=0.98
LEDGER t=6398816 tip=6398720, quorum=0.99
LEDGER t=6398838 tip=6398752, quorum=0.67
LEDGER t=6398842 tip=6398752, quorum=0.8
LEDGER t=6398845 tip=6398752, quorum=0.9
LEDGER t=6398847 tip=6398752, quorum=0.95
LEDGER t=6398847 tip=6398752, quorum=0.96
LEDGER t=6398848 tip=6398752, quorum=0.97
LEDGER t=6398848 tip=6398752, quorum=0.98
LEDGER t=6398848 tip=6398752, quorum=0.99
LEDGER t=6398870 tip=6398784, quorum=0.67
LEDGER t=6398874 tip=6398784, quorum=0.8
LEDGER t=6398877 tip=6398784, quorum=0.9
LEDGER t=6398879 tip=6398784, quorum=0.95
LEDGER t=6398879 tip=6398784, quorum=0.96
LEDGER t=6398880 tip=6398784, quorum=0.97
LEDGER t=6398880 tip=6398784, quorum=0.98
LEDGER t=6398880 tip=6398784, quorum=0.99
LEDGER t=6398902 tip=6398816, quorum=0.67
LEDGER t=6398906 tip=6398816, quorum=0.8
LEDGER t=6398909 tip=6398816, quorum=0.9
LEDGER t=6398911 tip=6398816, quorum=0.95
LEDGER t=6398911 tip=6398816, quorum=0.96
LEDGER t=6398912 tip=6398816, quorum=0.97
LEDGER t=6398912 tip=6398816, quorum=0.98
LEDGER t=6398912 tip=6398816, quorum=0.99
LEDGER t=6398934 tip=6398848, quorum=0.67
LEDGER t=6398938 tip=6398848, quorum=0.8
LEDGER t=6398941 tip=6398848, quorum=0.9
LEDGER t=6398943 tip=6398848, quorum=0.95
LEDGER t=6398943 tip=6398848, quorum=0.96
LEDGER t=6398944 tip=6398848, quorum=0.97
LEDGER t=6398944 tip=6398848, quorum=0.98
LEDGER t=6398944 tip=6398848, quorum=0.99
LEDGER t=6398967 tip=6398880, quorum=0.67
LEDGER t=6398971 tip=6398880, quorum=0.8
LEDGER t=6398974 tip=6398880, quorum=0.9
LEDGER t=6398976 tip=6398880, quorum=0.95
LEDGER t=6398976 tip=6398880, quorum=0.96
LEDGER t=6398976 tip=6398880, quorum=0.97
LEDGER t=6398998 tip=6398912, quorum=0.67
LEDGER t=6399002 tip=6398912, quorum=0.8
LEDGER t=6399005 tip=6398912, quorum=0.9
LEDGER t=6399007 tip=6398912, quorum=0.95
LEDGER t=6399007 tip=6398912, quorum=0.96
LEDGER t=6399008 tip=6398912, quorum=0.97
LEDGER t=6399008 tip=6398912, quorum=0.98
LEDGER t=6399008 tip=6398912, quorum=0.99
LEDGER t=6399030 tip=6398944, quorum=0.67
LEDGER t=6399034 tip=6398944, quorum=0.8
LEDGER t=6399037 tip=6398944, quorum=0.9
LEDGER t=6399039 tip=6398944, quorum=0.95
LEDGER t=6399039 tip=6398944, quorum=0.96
LEDGER t=6399040 tip=6398944, quorum=0.97
LEDGER t=6399040 tip=6398944, quorum=0.98
LEDGER t=6399040 tip=6398944, quorum=0.99
LEDGER t=6399062 tip=6398976, quorum=0.67
LEDGER t=6399066 tip=6398976, quorum=0.8
LEDGER t=6399069 tip=6398976, quorum=0.9
LEDGER t=6399071 tip=6398976, quorum=0.95
LEDGER t=6399071 tip=6398976, quorum=0.96
LEDGER t=6399072 tip=6398976, quorum=0.97
LEDGER t=6399072 tip=6398976, quorum=0.98
LEDGER t=6399072 tip=6398976, quorum=0.99
LEDGER t=6399094 tip=6399008, quorum=0.67
LEDGER t=6399098 tip=6399008, quorum=0.8
LEDGER t=6399101 tip=6399008, quorum=0.9
LEDGER t=6399103 tip=6399008, quorum=0.95
LEDGER t=6399103 tip=6399008, quorum=0.96
LEDGER t=6399104 tip=6399008, quorum=0.97
LEDGER t=6399104 tip=6399008, quorum=0.98
LEDGER t=6399104 tip=6399008, quorum=0.99
LEDGER t=6399126 tip=6399040, quorum=0.67
LEDGER t=6399130 tip=6399040, quorum=0.8
LEDGER t=6399133 tip=6399040, quorum=0.9
LEDGER t=6399135 tip=6399040, quorum=0.95
LEDGER t=6399135 tip=6399040, quorum=0.96
LEDGER t=6399136 tip=6399040, quorum=0.97
LEDGER t=6399136 tip=6399040, quorum=0.98
LEDGER t=6399136 tip=6399040, quorum=0.99
LEDGER t=6399158 tip=6399072, quorum=0.67
LEDGER t=6399162 tip=6399072, quorum=0.8
LEDGER t=6399165 tip=6399072, quorum=0.9
LEDGER t=6399167 tip=6399072, quorum=0.95
LEDGER t=6399167 tip=6399072, quorum=0.96
LEDGER t=6399168 tip=6399072, quorum=0.97
LEDGER t=6399168 tip=6399072, quorum=0.98
LEDGER t=6399168 tip=6399072, quorum=0.99
LEDGER t=6399190 tip=6399104, quorum=0.67
LEDGER t=6399194 tip=6399104, quorum=0.8
LEDGER t=6399197 tip=6399104, quorum=0.9
LEDGER t=6399199 tip=6399104, quorum=0.95
LEDGER t=6399199 tip=6399104, quorum=0.96
LEDGER t=6399200 tip=6399104, quorum=0.97
LEDGER t=6399200 tip=6399104, quorum=0.98
LEDGER t=6399200 tip=6399104, quorum=0.99
LEDGER t=6399222 tip=6399136, quorum=0.67
LEDGER t=6399226 tip=6399136, quorum=0.8
LEDGER t=6399229 tip=6399136, quorum=0.9
