LEDGER t=5971863 tip=5971776, quorum=0.7
LEDGER t=5971865 tip=5971776, quorum=0.75
LEDGER t=5971868 tip=5971776, quorum=0.85
LEDGER t=5971895 tip=5971808, quorum=0.7
LEDGER t=5971896 tip=5971808, quorum=0.75
LEDGER t=5971900 tip=5971808, quorum=0.85
LEDGER t=5971927 tip=5971840, quorum=0.7
LEDGER t=5971929 tip=5971840, quorum=0.75
LEDGER t=5971932 tip=5971840, quorum=0.85
LEDGER t=5971959 tip=5971872, quorum=0.7
LEDGER t=5971961 tip=5971872, quorum=0.75
LEDGER t=5971964 tip=5971872, quorum=0.85
LEDGER t=5971991 tip=5971904, quorum=0.7
LEDGER t=5971993 tip=5971904, quorum=0.75
LEDGER t=5971996 tip=5971904, quorum=0.85
LEDGER t=5972023 tip=5971936, quorum=0.7
LEDGER t=5972024 tip=5971936, quorum=0.75
LEDGER t=5972028 tip=5971936, quorum=0.85
LEDGER t=5972055 tip=5971968, quorum=0.7
LEDGER t=5972057 tip=5971968, quorum=0.75
LEDGER t=5972060 tip=5971968, quorum=0.85
LEDGER t=5972087 tip=5972000, quorum=0.7
LEDGER t=5972089 tip=5972000, quorum=0.75
LEDGER t=5972092 tip=5972000, quorum=0.85
LEDGER t=5972119 tip=5972032, quorum=0.7
LEDGER t=5972121 tip=5972032, quorum=0.75
LEDGER t=5972124 tip=5972032, quorum=0.85
LEDGER t=5972151 tip=5972064, quorum=0.7
LEDGER t=5972153 tip=5972064, quorum=0.75
LEDGER t=5972156 tip=5972064, quorum=0.85
LEDGER t=5972183 tip=5972096, quorum=0.7
LEDGER t=5972184 tip=5972096, quorum=0.75
LEDGER t=5972188 tip=5972096, quorum=0.85
LEDGER t=5972215 tip=5972128, quorum=0.7
LEDGER t=5972217 tip=5972128, quorum=0.75
LEDGER t=5972220 tip=5972128, quorum=0.85
LEDGER t=5972247 tip=5972160, quorum=0.7
LEDGER t=5972249 tip=5972160, quorum=0.75
LEDGER t=5972252 tip=5972160, quorum=0.85
LEDGER t=5972279 tip=5972192, quorum=0.7
LEDGER t=5972280 tip=5972192, quorum=0.75
LEDGER t=5972284 tip=5972192, quorum=0.85
LEDGER t=5972311 tip=5972224, quorum=0.7
LEDGER t=5972313 tip=5972224, quorum=0.75
LEDGER t=5972316 tip=5972224, quorum=0.85
LEDGER t=5972343 tip=5972256, quorum=0.7
LEDGER t=5972345 tip=5972256, quorum=0.75
LEDGER t=5972348 tip=5972256, quorum=0.85
LEDGER t=5972375 tip=5972288, quorum=0.7
LEDGER t=5972377 tip=5972288, quorum=0.75
LEDGER t=5972380 tip=5972288, quorum=0.85
LEDGER t=5972407 tip=5972320, quorum=0.7
LEDGER t=5972408 tip=5972320, quorum=0.75
LEDGER t=5972412 tip=5972320, quorum=0.85
LEDGER t=5972439 tip=5972352, quorum=0.7
LEDGER t=5972441 tip=5972352, quorum=0.75
LEDGER t=5972444 tip=5972352, quorum=0.85
LEDGER t=5972471 tip=5972384, quorum=0.7
LEDGER t=5972473 tip=5972384, quorum=0.75
LEDGER t=5972476 tip=5972384, quorum=0.85
LEDGER t=5972503 tip=5972416, quorum=0.7
LEDGER t=5972504 tip=5972416, quorum=0.75
LEDGER t=5972508 tip=5972416, quorum=0.85
LEDGER t=5972535 tip=5972448, quorum=0.7
LEDGER t=5972537 tip=5972448, quorum=0.75
LEDGER t=5972540 tip=5972448, quorum=0.85
LEDGER t=5972567 tip=5972480, quorum=0.7
LEDGER t=5972568 tip=5972480, quorum=0.75
LEDGER t=5972572 tip=5972480, quorum=0.85
LEDGER t=5972599 tip=5972512, quorum=0.7
LEDGER t=5972601 tip=5972512, quorum=0.75
LEDGER t=5972604 tip=5972512, quorum=0.85
LEDGER t=5972631 tip=5972544, quorum=0.7
LEDGER t=5972633 tip=5972544, quorum=0.75
LEDGER t=5972636 tip=5972544, quorum=0.85
LEDGER t=5972663 tip=5972576, quorum=0.7
LEDGER t=5972665 tip=5972576, quorum=0.75
LEDGER t=5972668 tip=5972576, quorum=0.85
LEDGER t=5972695 tip=5972608, quorum=0.7
LEDGER t=5972696 tip=5972608, quorum=0.75
LEDGER t=5972700 tip=5972608, quorum=0.85
LEDGER t=5972727 tip=5972640, quorum=0.7
LEDGER t=5972730 tip=5972640, quorum=0.75
LEDGER t=5972732 tip=5972640, quorum=0.85
LEDGER t=5972759 tip=5972672, quorum=0.7
LEDGER t=5972761 tip=5972672, quorum=0.75
LEDGER t=5972764 tip=5972672, quorum=0.85
LEDGER t=5972791 tip=5972704, quorum=0.7
LEDGER t=5972792 tip=5972704, quorum=0.75
LEDGER t=5972796 tip=5972704, quorum=0.85
LEDGER t=5972823 tip=5972736, quorum=0.7
LEDGER t=5972825 tip=5972736, quorum=0.75
LEDGER t=5972828 tip=5972736, quorum=0.85
LEDGER t=5972855 tip=5972768, quorum=0.7
LEDGER t=5972856 tip=5972768, quorum=0.75
LEDGER t=5972860 tip=5972768, quorum=0.85
LEDGER t=5972887 tip=5972800, quorum=0.7
LEDGER t=5972889 tip=5972800, quorum=0.75
LEDGER t=5972892 tip=5972800, quorum=0.85
LEDGER t=5972919 tip=5972832, quorum=0.7
LEDGER t=5972921 tip=5972832, quorum=0.75
LEDGER t=5972924 tip=5972832, quorum=0.85
LEDGER t=5972951 tip=5972864, quorum=0.7
LEDGER t=5972953 tip=5972864, quorum=0.75
LEDGER t=5972956 tip=5972864, quorum=0.85
LEDGER t=5972983 tip=5972896, quorum=0.7
LEDGER t=5972984 tip=5972896, quorum=0.75
LEDGER t=5972988 tip=5972896, quorum=0.85
LEDGER t=5973016 tip=5972928, quorum=0.7
LEDGER t=5973017 tip=5972928, quorum=0.75
LEDGER t=5973020 tip=5972928, quorum=0.85
LEDGER t=5973047 tip=5972960, quorum=0.7
LEDGER t=5973049 tip=5972960, quorum=0.75
LEDGER t=5973052 tip=5972960, quorum=0.85
LEDGER t=5973079 tip=5972992, quorum=0.7
LEDGER t=5973082 tip=5972992, quorum=0.75
LEDGER t=5973084 tip=5972992, quorum=0.85
LEDGER t=5973111 tip=5973024, quorum=0.7
LEDGER t=5973113 tip=5973024, quorum=0.75
LEDGER t=5973116 tip=5973024, quorum=0.85
LEDGER t=5973143 tip=5973056, quorum=0.7
LEDGER t=5973144 tip=5973056, quorum=0.75
LEDGER t=5973148 tip=5973056, quorum=0.85
LEDGER t=5973175 tip=5973088, quorum=0.7
LEDGER t=5973176 tip=5973088, quorum=0.75
LEDGER t=5973180 tip=5973088, quorum=0.85
LEDGER t=5973208 tip=5973120, quorum=0.7
LEDGER t=5973209 tip=5973120, quorum=0.75
LEDGER t=5973213 tip=5973120, quorum=0.85
LEDGER t=5973239 tip=5973152, quorum=0.7
LEDGER t=5973240 tip=5973152, quorum=0.75
LEDGER t=5973244 tip=5973152, quorum=0.85
LEDGER t=5973271 tip=5973184, quorum=0.7
LEDGER t=5973273 tip=5973184, quorum=0.75
LEDGER t=5973276 tip=5973184, quorum=0.85
LEDGER t=5973303 tip=5973216, quorum=0.7
