PARTICIPATION epoch=186881, participation=0.999824882707897
PARTICIPATION epoch=186882, participation=0.996645409373153
PARTICIPATION epoch=186883, participation=0.9994947136467447
PARTICIPATION epoch=186884, participation=0.9975957855105034
PARTICIPATION epoch=186885, participation=0.9996351723081188
PARTICIPATION epoch=186886, participation=0.9985425133709349
PARTICIPATION epoch=186887, participation=0.9999781103384872
PARTICIPATION epoch=186888, participation=0.9968515370190659
PARTICIPATION epoch=186889, participation=0.9999361551539208
PARTICIPATION epoch=186890, participation=1
PARTICIPATION epoch=186891, participation=1
PARTICIPATION epoch=186892, participation=1
PARTICIPATION epoch=186893, participation=0.9879424447833288
PARTICIPATION epoch=186894, participation=0.9998668378924634
PARTICIPATION epoch=186895, participation=1
PARTICIPATION epoch=186896, participation=0.9998850792770575
PARTICIPATION epoch=186897, participation=1
PARTICIPATION epoch=186898, participation=0.999757389584899
PARTICIPATION epoch=186899, participation=1
PARTICIPATION epoch=186900, participation=0.9944929259910544
PARTICIPATION epoch=186901, participation=0.9994180998314496
PARTICIPATION epoch=186902, participation=0.9999525724000554
PARTICIPATION epoch=186903, participation=0.9996680068003881
PARTICIPATION epoch=186904, participation=0.9995713274620397
PARTICIPATION epoch=186905, participation=1
PARTICIPATION epoch=186906, participation=0.9982816615712399
PARTICIPATION epoch=186907, participation=1
PARTICIPATION epoch=186908, participation=0.998799716893711
PARTICIPATION epoch=186909, participation=0.9984731961094775
PARTICIPATION epoch=186910, participation=1
PARTICIPATION epoch=186911, participation=1
PARTICIPATION epoch=186912, participation=1
PARTICIPATION epoch=186913, participation=1
PARTICIPATION epoch=186914, participation=0.99809742358684
PARTICIPATION epoch=186915, participation=1
PARTICIPATION epoch=186916, participation=1
PARTICIPATION epoch=186917, participation=0.9953210848516246
PARTICIPATION epoch=186918, participation=1
PARTICIPATION epoch=186919, participation=0.9985187995709627
PARTICIPATION epoch=186920, participation=0.9981977775021342
PARTICIPATION epoch=186921, participation=0.999044179344059
PARTICIPATION epoch=186922, participation=0.9994308937157533
PARTICIPATION epoch=186923, participation=0.9963245755477568
PARTICIPATION epoch=186924, participation=1
PARTICIPATION epoch=186925, participation=1
PARTICIPATION epoch=186926, participation=0.999554955677963
PARTICIPATION epoch=186927, participation=0.9989621863760059
PARTICIPATION epoch=186928, participation=1
PARTICIPATION epoch=186929, participation=1
PARTICIPATION epoch=186930, participation=1
PARTICIPATION epoch=186931, participation=1
PARTICIPATION epoch=186932, participation=1
PARTICIPATION epoch=186933, participation=1
PARTICIPATION epoch=186934, participation=0.9973209270431351
PARTICIPATION epoch=186935, participation=0.999586017230437
PARTICIPATION epoch=186936, participation=0.9995677864098916
PARTICIPATION epoch=186937, participation=0.9969581360741718
PARTICIPATION epoch=186938, participation=0.9996954533186471
PARTICIPATION epoch=186939, participation=0.9997884616787389
PARTICIPATION epoch=186940, participation=0.9994638675935315
