(186847, 1)
(186848, 0.9997117556271504)
(186849, 0.9990586449595545)
(186850, 0.9994216869228272)
(186851, 0.9995676334407256)
(186852, 1)
(186853, 0.9997044583012555)
(186854, 1)
(186855, 0.9995895254184104)
(186856, 0.999602301542997)
(186857, 0.9755528475158803)
(186858, 1)
(186859, 0.9976157379537304)
(186860, 0.9958882569055029)
(186861, 0.9935041244522924)
(186862, 0.9977179944618955)
(186863, 0.9997209068157109)
(186864, 0.9995202515851763)
(186865, 0.9995932171235525)
(186866, 0.9986264237400676)
(186867, 0.9985406892324755)
(186868, 0.9971306302033549)
(186869, 0.9997409723387644)
(186870, 1)
(186871, 0.9992812894469942)
(186872, 1)
(186873, 0.990713311103166)
(186874, 0.9992685204777784)
(186875, 0.9992320377085903)
(186876, 0.9989711859088952)
(186877, 0.9997537413079802)
(186878, 0.9944801570218386)
(186879, 0.9993724963699645)
(186880, 0.9979569649254657)
(186881, 0.999824882707897)
(186882, 0.996645409373153)
(186883, 0.9994947136467447)
(186884, 0.9975957855105034)
(186885, 0.9996351723081188)
(186886, 0.9985425133709349)
(186887, 0.9999781103384872)
(186888, 0.9968515370190659)
(186889, 0.9999361551539208)
(186890, 1)
(186891, 1)
(186892, 1)
(186893, 0.9879424447833288)
(186894, 0.9998668378924634)
(186895, 1)
(186896, 0.9998850792770575)
(186897, 1)
(186898, 0.999757389584899)
(186899, 1)
(186900, 0.9944929259910544)
(186901, 0.9994180998314496)
(186902, 0.9999525724000554)
(186903, 0.9996680068003881)
(186904, 0.9995713274620397)
(186905, 1)
(186906, 0.9982816615712399)
(186907, 1)
(186908, 0.998799716893711)
(186909, 0.9984731961094775)
(186910, 1)
(186911, 1)
(186912, 1)
(186913, 1)
(186914, 0.99809742358684)
(186915, 1)
(186916, 1)
(186917, 0.9953210848516246)
(186918, 1)
(186919, 0.9985187995709627)
(186920, 0.9981977775021342)
(186921, 0.999044179344059)
(186922, 0.9994308937157533)
(186923, 0.9963245755477568)
(186924, 1)
(186925, 1)
(186926, 0.999554955677963)
(186927, 0.9989621863760059)
(186928, 1)
(186929, 1)
(186930, 1)
(186931, 1)
(186932, 1)
(186933, 1)
(186934, 0.9973209270431351)
(186935, 0.999586017230437)
(186936, 0.9995677864098916)
(186937, 0.9969581360741718)
(186938, 0.9996954533186471)
(186939, 0.9997884616787389)
(186940, 0.9994638675935315)
(186941, 0.9998759983952733)
(186942, 0.9913820141943296)
(186943, 0.9995605365465832)
(186944, 0.9994347233061758)
(186945, 0.9999361793687958)
(186946, 0.9976295539914664)
(186947, 0.9984282348822453)
(186948, 0.9995569218650855)
(186949, 0.9977974050222083)
(186950, 0.9992032119492681)
(186951, 0.9690004740546256)
(186952, 1)
(186953, 0.9998431996032585)
(186954, 0.9690957357585128)
(186955, 0.9991850025890298)
(186956, 0.9986052057731718)
(186957, 0.9875453080216166)
(186958, 0.9992123514954382)
(186959, 0.9991521839013398)
(186960, 1)
(186961, 0.9692324802905548)
(186962, 1)
(186963, 0.9986890757528243)
(186964, 0.999363682110898)
(186965, 0.9843728348782427)
(186966, 1)
(186967, 0.9701568733271586)
(186968, 1)
(186969, 0.9731014389171292)
(186970, 0.9846317378589088)
(186971, 1)
(186972, 0.9993144540793629)
(186973, 1)
(186974, 0.998823997024439)
